Nome;Ruolo;Quotazione;Squadra
LEZZERINI L.;P;1;Fiorentina
FALCONE W.;P;15;Lecce
BLEVE M.;P;1;Lecce
PENEV P.;P;1;Lecce
MURIC A.;P;15;Sassuolo
SATALINO G.;P;1;Sassuolo
TURATI S.;P;1;Sassuolo
PALMISANI L.;P;14;Frosinone
DESPLANCHES S.;P;1;Frosinone
LOLIC E.;P;1;Frosinone
STANKOVIC F.;P;11;Venezia
GRANDI M.;P;1;Venezia
MONTIPÒ L.;P;1;Venezia
THIAM D.;P;7;Monza
STRAJNAR A.;P;1;Monza
TORNQVIST N.;P;1;Monza
CORVI E.;P;1;Parma
DAFFARA G.;P;1;Parma
GHIDOTTI S.;P;1;Parma
DIMARCO F.;D;42;Inter
BREMER;D;37;Juventus
WESLEY;D;37;Roma
MANCINI G.;D;36;Roma
BASTONI A.;D;34;Inter
PAVLOVIC S.;D;34;Milan
BISSECK Y.;D;32;Inter
ZAPPACOSTA D.;D;32;Atalanta
DI LORENZO G.;D;31;Napoli
KALULU P.;D;31;Juventus
NDICKA E.;D;31;Roma
SOLET O.;D;31;Udinese
AKANJI M.;D;30;Inter
STONES J.;D;30;Inter
MOLINA N.;D;29;Roma
CAMBIASO A.;D;27;Juventus
CHALOBAH T.;D;27;Como
KEMPF M.;D;27;Como
SCALVINI G.;D;27;Atalanta
SPINAZZOLA L.;D;27;Napoli
VALLE A.;D;27;Como
DODO;D;26;Fiorentina
SPENCE D.;D;26;Inter
HERMOSO M.;D;25;Roma
RAMON J.;D;25;Como
RRAHMANI A.;D;25;Napoli
BELLANOVA R.;D;24;Atalanta
HIEN I.;D;24;Atalanta
KAMARA H.;D;24;Udinese
KELLY L.;D;24;Juventus
CARLOS AUGUSTO;D;23;Inter
COMUZZO P.;D;23;Torino
GILA M.;D;23;Milan
MIRANDA J.;D;23;Bologna
BALERDI L.;D;22;Roma
OSTIGARD L.;D;22;Genoa
GABBIA M.;D;21;Milan
GABRIEL T.;D;21;Lecce
HOLM E.;D;21;Bologna
PAVARD B.;D;21;Inter
BARTESAGHI D.;D;20;Milan
BELGHALI R.;D;20;Torino
BUONGIORNO A.;D;20;Napoli
COUTO Y.;D;20;Como
GALLO A.;D;20;Lecce
LUCUMI J.;D;20;Juventus
MARUSIC A.;D;20;Lazio
VALERI E.;D;20;Parma
VASQUEZ J.;D;20;Genoa
BADIASHILE B.;D;19;Napoli
BERNASCONI L.;D;19;Atalanta
CELIK Z.;D;19;Juventus
DOEKHI D.;D;19;Lazio
ISMAJLI A.;D;19;Torino
JIMENEZ A.;D;19;Fiorentina
MINA Y.;D;19;Cagliari
NUNO TAVARES;D;19;Lazio
PARISI F.;D;19;Fiorentina
SUGAWARA Y.;D;19;Cagliari
THEATE A.;D;19;Bologna
TOMORI F.;D;19;Milan
DELPRATO E.;D;18;Parma
GATTI F.;D;18;Juventus
KRISTENSEN T.;D;18;Atalanta
PEDRAZA A.;D;18;Lazio
SMOLCIC I.;D;18;Como
SUTALO J.;D;18;Lazio
ZORTEA N.;D;18;Bologna
CARLOS D.;D;17;Parma
GHILARDI D.;D;17;Roma
OBRADOR R.;D;17;Sassuolo
RANIERI L.;D;17;Fiorentina
RENSCH D.;D;17;Roma
VOJVODA M.;D;17;Udinese
BEUKEMA S.;D;16;Napoli
CALETA-CAR D.;D;16;Sassuolo
COCO S.;D;16;Torino
DE WINTER K.;D;16;Milan
DRAGUSIN R.;D;16;Fiorentina
KAMBWALA W.;D;16;Como
KOSSOUNOU O.;D;16;Atalanta
OBERT A.;D;16;Cagliari
OLIVERA M.;D;16;Napoli
PONGRACIC M.;D;16;Fiorentina
PROVSTGAARD O.;D;16;Lazio
TERZIC A.;D;16;Frosinone
VALDEPEÑAS V.;D;16;Fiorentina
AURELIO G.;D;15;Cagliari
KABASELE C.;D;15;Udinese
KOULIERAKIS K.;D;15;Roma
PATTERSON N.;D;15;Torino
VEIGA D.;D;15;Lecce
CABAL J.;D;14;Juventus
DRAMEH C.;D;14;Genoa
EHIZIBUE K.;D;14;Genoa
HAPS R.;D;14;Venezia
JESUS J.;D;14;Venezia
KAIKI B.;D;14;Como
MARCANDALLI A.;D;14;Genoa
OYONO A.;D;14;Frosinone
RODRIGUEZ Ju.;D;14;Cagliari
TROILO M.;D;14;Parma
WALUKIEWICZ S.;D;14;Sassuolo
ZÉ PEDRO;D;14;Cagliari
BRACAGLIA G.;D;13;Frosinone
CALVANI G.;D;13;Frosinone
CORREIA T.;D;13;Venezia
FAVASULI C.;D;13;Napoli
KOLASINAC S.;D;13;Atalanta
MANGAS R.;D;13;Monza
MONTERISI I.;D;13;Frosinone
SABELLI S.;D;13;Genoa
VAN DER BREMPT I.;D;13;Sassuolo
VIERY F.;D;13;Fiorentina
VITIK M.;D;13;Bologna
BERTOLA N.;D;12;Udinese
BIRINDELLI S.;D;12;Monza
HEGGEM T.;D;12;Bologna
LAZZARI M.;D;12;Lazio
MARIN R.;D;12;Napoli
MARIO J.;D;12;Fiorentina
CARBONI A.;D;11;Monza
DOIG J.;D;11;Sassuolo
FORTINI N.;D;11;Torino
PATRIC;D;11;Lazio
ALHASSANE R.;D;10;Bologna
IDRISSI R.;D;10;Cagliari
LEYSEN F.;D;10;Sassuolo
MARIANUCCI L.;D;10;Napoli
PELLEGRINI L.;D;10;Lazio
RODRIGUEZ R.;D;10;Torino
SIEBERT J.;D;10;Lecce
BELLA-KOTCHAP A.;D;9;Venezia
BRITSCHGI S.;D;9;Parma
COMERT E.;D;9;Torino
ESTUPINAN P.;D;9;Milan
FRANJIC B.;D;9;Venezia
GOGLICHIDZE S.;D;9;Monza
HALHAL R.;D;9;Venezia
MUSSOLINI R.;D;9;Lazio
